mprove50_x,mprove50_y
19,-5.297296732538696e-05
19,3.729278784996031e-05
19,3.962939685248537e-05
19,0.00013502922278176854
3,4.299845205369018e-15
2,-3.7246092036612516e-16
1,-3.6266001289142065e-15
0,4.7533756638923856e-15
1,7.605742151461288e-16
4,-1.4628369576773938e-13
5,-6.971705123843771e-14
6,-2.352769417120332e-13
7,-2.5520156904893804e-12
8,4.002126180378603e-12
9,6.732189733377342e-12
10,2.8922319101307776e-11
11,-2.0155947714328803e-10
12,-1.2523530585762078e-10
13,-3.0489196149578167e-10
14,-4.291844755439499e-09
15,1.7702482225036717e-09
16,2.5834073683360116e-09
17,1.0480264680832363e-08
18,-2.2696258320786207e-08
19,-1.7696207682881183e-08
20,-4.085030290209617e-08
20,5.848976532188277e-07
20,1.0111464609405045e-07
20,1.5019690910350813e-07
20,9.218792328929538e-07
20,-4.958607999027019e-07
20,-4.6616410168501517e-07
20,-1.242021752470872e-06
20,2.1071400019803384e-06
20,1.0296286593708492e-06
20,1.4471691801126832e-06
20,-6.5484334110229165e-06
20,-3.190168717701939e-08
20,2.1363443731747633e-06
20,4.5883391312958214e-05
20,-1.7462808895035047e-05
20,-2.649904120727194e-05
20,-0.00013543896470260031
20,0.00014178427001189026
20,0.00013885794453545735
3,5.764251553911911e-16
2,-6.356142854306031e-15
1,3.8760287327276974e-15
0,5.552449289544469e-16
1,-1.9774713559610834e-15
4,1.586149194928943e-14
5,1.5134950701338311e-12
6,-3.24864149663173e-13
7,-8.997581482561472e-13
8,-6.6987759777919094e-12
9,1.8391444122930995e-11
10,2.4238891150525554e-11
11,8.646017772073067e-11
12,-1.6357610485123013e-09
13,-4.4998656732756223e-10
14,-9.443636751860761e-10
15,-7.1702962845006545e-09
16,6.709119566320924e-09
17,8.289914012493444e-09
18,2.757040110370904e-08
19,-1.038057580364741e-07
20,-5.980066558678112e-08
21,-1.213855696568654e-07
21,-4.834940763274769e-06
21,3.6840798951068856e-07
21,4.877386481249659e-07
21,2.1279745353533824e-06
21,-2.029160882899673e-06
21,-1.6648409318852848e-06
21,-3.872150203887468e-06
21,1.0896202992220176e-05
21,4.2669284280068686e-06
21,5.835980456502421e-06
21,-0.00017396567815678696
21,-3.2496347678291976e-06
21,2.866498011574818e-06
21,6.666839666997171e-05
21,-5.5526391585978e-05
21,-8.16031132674647e-05
21,-0.0003650214769198886
21,0.0005457267688688831
3,-7.188425771841815e-15
2,3.0210229260477933e-15
1,-0.0
0,-2.8093859383513726e-15
1,8.49691225639075e-15
4,1.095191086574846e-14
5,7.126633866413557e-14
6,1.4932425603959995e-12
7,-1.52327607433716e-12
8,-3.4178213018457905e-12
9,-1.931885835348228e-11
10,9.235528760164766e-11
11,8.841861757663555e-11
12,2.6643706175738744e-10
13,1.3076476846578048e-08
14,-1.662598331027437e-09
15,-2.99521422394154e-09
16,-1.5965219031301925e-08
17,2.693205043078476e-08
18,2.726500221467235e-08
19,7.677927637893559e-08
20,-5.954282293930234e-07
21,-2.076918613775881e-07
22,-3.7223061509817265e-07
22,-3.578605945380373e-06
22,1.3875403782964825e-06
22,1.6200703078696575e-06
22,5.5928995956110874e-06
22,-8.733650223258599e-06
22,-6.03737830664528e-06
22,-1.2477789975325116e-05
22,6.526749933160613e-05
22,1.7593587830637647e-05
22,2.292177476230773e-05
22,0.00028575839990766313
22,-2.4150753387788713e-05
22,-5.14154879046697e-06
22,9.799469089836183e-05
22,-0.0001697073424156123
22,-0.0002471495947684227
22,-0.0010121082828837948
3,1.726954428536494e-15
2,-3.7277729161907894e-16
1,-4.536389285773017e-15
0,5.346300514531968e-15
1,7.559393786836421e-16
4,1.0096881384678173e-13
5,7.365666391121313e-14
6,3.0995787383006153e-13
7,3.5605078758562278e-12
8,-7.302476735733892e-12
9,-1.2995289618505476e-11
10,-5.878281392663263e-11
11,5.660649229426769e-10
12,3.2824665631630333e-10
13,8.42544710733381e-10
14,1.0128506806529627e-08
15,-6.369012819526477e-09
16,-9.725865935978025e-09
17,-4.0346911633135005e-08
18,1.1789765841662702e-07
19,9.201535649370556e-08
20,2.2345013042130397e-07
21,-8.806046631168955e-06
22,-7.435128288553001e-07
23,-1.1747309401693259e-06
